city,date,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,conditions
"Madrid, Comunidad de Madrid, España",2022-12-01,12.3,4.0,8.1,12.3,2.8,7.6,1.5,65.7,0.0,0,0.0,0,0,34.2,15.1,26.8,1015.2,22.6,16.1,115.4,10.0,5,Partially cloudy
"Madrid, Comunidad de Madrid, España",2022-12-02,9.6,3.2,5.6,9.6,0.7,4.3,0.9,72.2,0.0,0,0.0,0,0,25.9,9.7,1.6,1014.3,59.8,15.6,72.6,6.2,4,Partially cloudy
"Madrid, Comunidad de Madrid, España",2022-12-03,9.6,0.3,4.8,8.3,0.3,4.3,2.0,83.1,0.278,100,8.33,0,0,23.8,12.1,305.1,1008.6,63.9,12.5,68.5,5.8,4,"Rain, Partially cloudy"
"Madrid, Comunidad de Madrid, España",2022-12-04,7.9,2.2,4.9,7.9,0.7,4.4,3.7,91.7,0.678,100,25.0,0,0,15.8,7.3,9.5,1010.4,83.0,10.2,44.5,3.9,2,"Rain, Partially cloudy"
"Madrid, Comunidad de Madrid, España",2022-12-05,9.6,4.6,7.3,8.8,2.1,6.0,6.8,96.6,9.986,100,66.67,0,0,19.4,10.8,34.7,1014.2,92.5,5.1,16.0,1.4,1,"Rain, Overcast"
"Madrid, Comunidad de Madrid, España",2022-12-06,11.3,8.9,9.8,11.3,8.0,9.6,9.0,94.8,2.341,100,29.17,0,0,14.0,7.1,15.1,1015.5,96.2,8.5,34.0,3.1,2,"Rain, Overcast"
"Madrid, Comunidad de Madrid, España",2022-12-07,12.3,6.8,9.4,12.3,6.8,9.4,8.5,94.2,0.049,100,4.17,0,0,14.0,6.1,59.2,1013.8,78.0,7.0,51.4,4.4,3,"Rain, Partially cloudy"
"Madrid, Comunidad de Madrid, España",2022-12-08,12.1,7.5,9.3,12.1,6.1,8.6,8.6,95.3,15.574,100,58.33,0,0,77.8,17.8,143.1,1004.3,89.3,8.4,12.9,1.0,1,"Rain, Partially cloudy"
"Madrid, Comunidad de Madrid, España",2022-12-09,10.8,7.9,9.1,10.8,6.1,8.4,8.5,95.8,8.632,100,75.0,0,0,22.0,14.7,213.9,1000.9,92.2,10.6,30.1,2.6,2,"Rain, Overcast"
"Madrid, Comunidad de Madrid, España",2022-12-10,12.1,7.3,9.0,12.1,5.5,8.2,7.3,89.4,0.435,100,33.33,0,0,38.9,21.4,258.9,1008.1,70.2,10.4,90.2,7.7,5,"Rain, Partially cloudy"
